Date,GHI,PR
7/10/2020,5.808341667,79.04237853
7/11/2020,5.056216667,61.03987646
7/12/2020,5.706333333,83.20947604
7/13/2020,5.080458333,79.82261729
7/14/2020,6.802625,83.21232225
7/15/2020,6.373325,82.87603269
7/16/2020,3.385833333,84.72339623
7/17/2020,4.903241667,70.1763765
7/18/2020,3.602683333,63.41637107
7/19/2020,5.185658333,74.51663485
7/20/2020,4.802258333,61.60675397
7/21/2020,3.878741667,74.38164019
7/22/2020,5.033941667,68.78996992
7/23/2020,5.238233333,80.34768649
7/24/2020,4.326291667,83.21377527
7/25/2020,5.342891667,63.95863352
7/26/2020,4.191575,74.81788739
7/27/2020,6.463783333,78.84769573
7/28/2020,4.672008333,73.53916359
7/29/2020,5.826408333,84.27499891
7/30/2020,5.928366667,76.33637825
7/31/2020,2.833108333,81.89387409
8/1/2020,4.023816667,60.48325108
8/2/2020,3.128775,75.23499646
8/3/2020,3.270375,68.36815611
8/4/2020,3.911008333,66.82187004
8/5/2020,4.348208333,78.12217834
8/6/2020,4.216683333,83.73038692
8/7/2020,4.42375,83.80450831
8/8/2020,4.228008333,67.59783611
8/9/2020,3.826891667,66.90940439
8/10/2020,4.77865,70.68643663
8/11/2020,5.032291667,80.91626741
8/12/2020,2.374025,63.18027054
8/13/2020,3.296125,70.54251848
8/14/2020,5.338333333,62.43740341
8/15/2020,6.542925,68.05950151
8/16/2020,6.588108333,64.51231562
8/17/2020,5.805491667,83.38144698
8/18/2020,4.6093,83.27885928
8/19/2020,4.504258333,70.80370196
8/20/2020,4.920458333,72.01206975
8/21/2020,5.852966667,60.02388617
8/22/2020,5.7299,65.39352233
8/23/2020,5.770433333,81.24745954
8/24/2020,6.372925,82.81310078
8/25/2020,6.375016667,67.76977824
8/26/2020,5.904958333,63.01606436
8/27/2020,6.356391667,73.65052644
8/28/2020,6.098608333,81.09543452
8/29/2020,6.4524,64.68213301
8/30/2020,4.734875,76.03943489
8/31/2020,6.173716667,82.64278301
9/1/2020,3.607716667,77.2688698
9/2/2020,5.848,80.25530527
9/3/2020,5.022025,79.11494783
9/4/2020,6.7933,64.27829856
9/5/2020,5.315975,79.50033226
9/6/2020,5.303933333,75.98413614
9/7/2020,6.947316667,65.23346652
9/8/2020,5.245983333,83.00012978
9/9/2020,3.982816667,70.81294717
9/10/2020,4.208775,65.33308202
9/11/2020,6.204075,74.15784385
9/12/2020,4.825333333,63.67723912
9/13/2020,3.430558333,77.09746893
9/14/2020,3.86695,66.50726911
9/15/2020,5.83625,62.09406595
9/16/2020,5.193391667,66.69350044
9/17/2020,4.751516667,65.98626146
9/18/2020,3.082125,65.81474179
9/19/2020,1.961641667,71.86334764
9/20/2020,5.438716667,76.09235854
9/21/2020,5.726066667,70.73095945
9/22/2020,5.455016667,72.61577295
9/23/2020,5.434108333,77.03613837
9/24/2020,6.261908333,80.76889776
9/25/2020,3.901775,80.78640954
9/26/2020,3.824825,71.77520677
9/27/2020,3.45985,70.39030075
9/28/2020,3.970241667,60.58774693
9/29/2020,4.564616667,62.84506203
9/30/2020,5.392108333,83.18899003
10/1/2020,4.0125,62.73674669
10/2/2020,2.411141667,73.71892061
10/3/2020,5.345891667,72.4401401
10/4/2020,4.904075,76.93894479
10/5/2020,3.05,60.24167536
10/6/2020,3.399941667,80.87436482
10/7/2020,1.767241667,84.47100223
10/8/2020,4.223466667,84.98011969
10/9/2020,1.825283333,63.67023399
10/10/2020,2.645533333,80.63019308
10/11/2020,2.573858333,75.48120255
10/12/2020,4.169058333,74.21314908
10/13/2020,4.326308333,84.9617997
10/14/2020,2.54325,67.80043625
10/15/2020,2.999,69.25622925
10/16/2020,2.124833333,70.50378529
10/17/2020,2.839691667,69.40774697
10/18/2020,2.898758333,74.01298316
10/19/2020,4.856016667,70.06526772
10/20/2020,4.438566667,63.29134117
